WL(nm)	n	k
912	1	0
914	1	0
916	1	0
918	1	0
920	1	0
922	1	0
924	1	0
926	1	0
928	1	0
930	1	0
932	1	0
934	1	0
936	1	0
938	1	0
940	1	0
942	1	0
944	1	0
946	1	0
948	1	0
950	1	0
952	1	0
954	1	0
956	1	0
958	1	0
960	1	0
962	1	0
964	1	0
966	1	0
968	1	0
970	1	0
972	1	0
974	1	0
976	1	0
978	1	0
980	1	0
982	1	0
984	1	0
986	1	0
988	1	0
990	1	0
992	1	0
994	1	0
996	1	0
998	1	0
1000	1	0
1002	1	0
1004	1	0
1006	1	0
1008	1	0
1010	1	0
1012	1	0
1014	1	0
1016	1	0
1018	1	0
1020	1	0
1022	1	0
1024	1	0
1026	1	0
1028	1	0
1030	1	0
1032	1	0
1034	1	0
1036	1	0
1038	1	0
1040	1	0
1042	1	0
1044	1	0
1046	1	0
1048	1	0
1050	1	0
1052	1	0
1054	1	0
1056	1	0
1058	1	0
1060	1	0
1062	1	0
1064	1	0
1066	1	0
1068	1	0
1070	1	0
1072	1	0
1074	1	0
1076	1	0
1078	1	0
1080	1	0
1082	1	0
1084	1	0
1086	1	0
1088	1	0
1090	1	0
1092	1	0
1094	1	0
1096	1	0
1098	1	0
1100	1	0
1102	1	0
1104	1	0
1106	1	0
1108	1	0
1110	1	0
1112	1	0
1114	1	0
1116	1	0
1118	1	0
1120	1	0
1122	1	0
1124	1	0
1126	1	0
1128	1	0
1130	1	0
1132	1	0
1134	1	0
1136	1	0
1138	1	0
1140	1	0
1142	1	0
1144	1	0
1146	1	0
1148	1	0
1150	1	0
1152	1	0
1154	1	0
1156	1	0
1158	1	0
1160	1	0
1162	1	0
1164	1	0
1166	1	0
1168	1	0
1170	1	0
1172	1	0
1174	1	0
1176	1	0
1178	1	0
1180	1	0
1182	1	0
1184	1	0
1186	1	0
1188	1	0
1190	1	0
1192	1	0
1194	1	0
1196	1	0
1198	1	0
1200	1	0
1202	1	0
1204	1	0
1206	1	0
1208	1	0
1210	1	0
1212	1	0
1214	1	0
1216	1	0
1218	1	0
1220	1	0
1222	1	0
1224	1	0
1226	1	0
1228	1	0
1230	1	0
1232	1	0
1234	1	0
1236	1	0
1238	1	0
1240	1	0
1242	1	0
1244	1	0
1246	1	0
1248	1	0
1250	1	0
1252	1	0
1254	1	0
1256	1	0
1258	1	0
1260	1	0
1262	1	0
1264	1	0
1266	1	0
1268	1	0
1270	1	0
1272	1	0
1274	1	0
1276	1	0
1278	1	0
1280	1	0
1282	1	0
1284	1	0
1286	1	0
1288	1	0
1290	1	0
1292	1	0
1294	1	0
1296	1	0
1298	1	0
1300	1	0
1302	1	0
1304	1	0
1306	1	0
1308	1	0
1310	1	0
1312	1	0
1314	1	0
1316	1	0
1318	1	0
1320	1	0
1322	1	0
1324	1	0
1326	1	0
1328	1	0
1330	1	0
1332	1	0
1334	1	0
1336	1	0
1338	1	0
1340	1	0
1342	1	0
1344	1	0
1346	1	0
1348	1	0
1350	1	0
1352	1	0
1354	1	0
1356	1	0
1358	1	0
1360	1	0
1362	1	0
1364	1	0
1366	1	0
1368	1	0
1370	1	0
1372	1	0
1374	1	0
1376	1	0
1378	1	0
1380	1	0
1382	1	0
1384	1	0
1386	1	0
1388	1	0
1390	1	0
1392	1	0
1394	1	0
1396	1	0
1398	1	0
1400	1	0
1402	1	0
1404	1	0
1406	1	0
1408	1	0
1410	1	0
1412	1	0
1414	1	0
1416	1	0
1418	1	0
1420	1	0
1422	1	0
1424	1	0
1426	1	0
1428	1	0
1430	1	0
1432	1	0
1434	1	0
1436	1	0
1438	1	0
1440	1	0
1442	1	0
1444	1	0
1446	1	0
1448	1	0
1450	1	0
1452	1	0
1454	1	0
1456	1	0
1458	1	0
1460	1	0
1462	1	0
1464	1	0
1466	1	0
1468	1	0
1470	1	0
1472	1	0
1474	1	0
1476	1	0
1478	1	0
1480	1	0
1482	1	0
1484	1	0
1486	1	0
1488	1	0
1490	1	0
1492	1	0
1494	1	0
1496	1	0
1498	1	0
1500	1	0
1502	1	0
1504	1	0
1506	1	0
1508	1	0
1510	1	0
1512	1	0
1514	1	0
1516	1	0
1518	1	0
1520	1	0
1522	1	0
1524	1	0
1526	1	0
1528	1	0
1530	1	0
1532	1	0
1534	1	0
1536	1	0
1538	1	0
1540	1	0
1542	1	0
1544	1	0
1546	1	0
1548	1	0
1550	1	0
1552	1	0
1554	1	0
1556	1	0
1558	1	0
1560	1	0
1562	1	0
1564	1	0
1566	1	0
1568	1	0
1570	1	0
1572	1	0
1574	1	0
1576	1	0
1578	1	0
1580	1	0
1582	1	0
1584	1	0
1586	1	0
1588	1	0
1590	1	0
1592	1	0
1594	1	0
1596	1	0
1598	1	0
1600	1	0
1602	1	0
1604	1	0
1606	1	0
1608	1	0
1610	1	0
1612	1	0
1614	1	0
1616	1	0
1618	1	0
1620	1	0
1622	1	0
1624	1	0
1626	1	0
1628	1	0
1630	1	0
1632	1	0
1634	1	0
1636	1	0
1638	1	0
1640	1	0
1642	1	0
1644	1	0
1646	1	0
1648	1	0
1650	1	0
1652	1	0
1654	1	0
1656	1	0
1658	1	0
1660	1	0
1662	1	0
1664	1	0
1666	1	0
1668	1	0
1670	1	0
1672	1	0
1674	1	0
1676	1	0
1678	1	0
1680	1	0
1682	1	0
1684	1	0
1686	1	0
1688	1	0
1690	1	0
1692	1	0
1694	1	0
1696	1	0
1698	1	0
1700	1	0
1702	1	0
1704	1	0
1706	1	0
1708	1	0
1710	1	0
1712	1	0
1714	1	0
1716	1	0
1718	1	0
1720	1	0
1722	1	0
1724	1	0
1726	1	0
1728	1	0
1730	1	0
1732	1	0
1734	1	0
1736	1	0
1738	1	0
1740	1	0
1742	1	0
1744	1	0
1746	1	0
1748	1	0
1750	1	0
1752	1	0
1754	1	0
1756	1	0
1758	1	0
1760	1	0
1762	1	0
1764	1	0
1766	1	0
1768	1	0
1770	1	0
1772	1	0
1774	1	0
1776	1	0
1778	1	0
1780	1	0
1782	1	0
1784	1	0
1786	1	0
1788	1	0
1790	1	0
1792	1	0
1794	1	0
1796	1	0
1798	1	0
1800	1	0
1802	1	0
1804	1	0
1806	1	0
1808	1	0
1810	1	0
1812	1	0
1814	1	0
1816	1	0
1818	1	0
1820	1	0
1822	1	0
1824	1	0
1826	1	0
1828	1	0
1830	1	0
1832	1	0
1834	1	0
1836	1	0
1838	1	0
1840	1	0
1842	1	0
1844	1	0
1846	1	0
1848	1	0
1850	1	0
1852	1	0
1854	1	0
1856	1	0
1858	1	0
1860	1	0
1862	1	0
1864	1	0
1866	1	0
1868	1	0
1870	1	0
1872	1	0
1874	1	0
1876	1	0
1878	1	0
1880	1	0
1882	1	0
1884	1	0
1886	1	0
1888	1	0
1890	1	0
1892	1	0
1894	1	0
1896	1	0
1898	1	0
1900	1	0
1902	1	0
1904	1	0
1906	1	0
1908	1	0
1910	1	0
1912	1	0
1914	1	0
1916	1	0
1918	1	0
1920	1	0
1922	1	0
1924	1	0
1926	1	0
1928	1	0
1930	1	0
1932	1	0
1934	1	0
1936	1	0
1938	1	0
1940	1	0
1942	1	0
1944	1	0
1946	1	0
1948	1	0
1950	1	0
1952	1	0
1954	1	0
1956	1	0
1958	1	0
1960	1	0
1962	1	0
1964	1	0
1966	1	0
1968	1	0
1970	1	0
1972	1	0
1974	1	0
1976	1	0
1978	1	0
1980	1	0
1982	1	0
1984	1	0
1986	1	0
1988	1	0
1990	1	0
1992	1	0
1994	1	0
1996	1	0
1998	1	0
2000	1	0
